,team_id,player_id,x_loc,y_loc,radius,game_clock,shot_clock,quarter,game_id,event_id,x_loc_original,y_loc_original,speed
0,ball,ball,-201.273,186.754,3.643,711.260,11.990,1,21500492,1,23.425,45.127,0.000
1,TOR,DeMarre Carroll,114.530,53.694,0.000,711.260,11.990,1,21500492,1,10.119,13.547,0.000
2,TOR,Kyle Lowry,-195.101,160.684,0.000,711.260,11.990,1,21500492,1,20.818,44.510,0.000
3,TOR,DeMar DeRozan,-137.957,94.153,0.000,711.260,11.990,1,21500492,1,14.165,38.796,0.000
4,TOR,Jonas Valanciunas,-92.094,161.406,0.000,711.260,11.990,1,21500492,1,20.891,34.209,0.000
5,CHA,Marvin Williams,28.002,85.574,0.000,711.260,11.990,1,21500492,1,13.307,22.200,0.000
6,CHA,Nicolas Batum,64.135,43.904,0.000,711.260,11.990,1,21500492,1,9.140,18.586,0.000
7,CHA,Kemba Walker,-174.728,145.610,0.000,711.260,11.990,1,21500492,1,19.311,42.473,0.000
8,CHA,Cody Zeller,-75.317,116.972,0.000,711.260,11.990,1,21500492,1,16.447,32.532,0.000
9,CHA,PJ Hairston,-127.022,107.418,0.000,711.260,11.990,1,21500492,1,15.492,37.702,0.000
10,TOR,Luis Scola,110.885,143.381,0.000,711.260,11.990,1,21500492,1,19.088,13.911,0.000
11,CHA,Marvin Williams,28.515,83.785,0.000,711.220,11.970,1,21500492,1,13.128,22.149,4.654
12,CHA,PJ Hairston,-124.984,103.259,0.000,711.220,11.970,1,21500492,1,15.076,37.498,11.579
13,CHA,Cody Zeller,-75.728,117.148,0.000,711.220,11.970,1,21500492,1,16.465,32.573,1.118
14,CHA,Kemba Walker,-172.741,149.441,0.000,711.220,11.970,1,21500492,1,19.694,42.274,10.790
15,CHA,Nicolas Batum,63.268,42.295,0.000,711.220,11.970,1,21500492,1,8.979,18.673,4.570
16,TOR,DeMarre Carroll,112.820,52.334,0.000,711.220,11.970,1,21500492,1,9.983,13.718,5.459
17,TOR,Jonas Valanciunas,-94.819,162.451,0.000,711.220,11.970,1,21500492,1,20.995,34.482,7.297
18,TOR,DeMar DeRozan,-136.534,88.466,0.000,711.220,11.970,1,21500492,1,13.597,38.653,14.656
19,TOR,Kyle Lowry,-192.904,164.791,0.000,711.220,11.970,1,21500492,1,21.229,44.290,11.644
20,TOR,Luis Scola,111.775,141.852,0.000,711.220,11.970,1,21500492,1,18.935,13.822,4.422
